Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy
-1,0,0.6278398633003235,2.965232113183447e-07,28.74,0.6375495791435242,3.3992048997788515e-07,29.07
0,3970702560.0,0.6180351376533508,2.5087570065807085e-07,29.36,0.6281307339668274,3.346633832279622e-07,29.66
10,43677728160.0,0.48626255989074707,2.838864929799456e-07,47.68,0.49981868267059326,3.647627977443335e-07,49.01
20,83384753760.0,0.4652256667613983,2.717823974762723e-07,53.46,0.4793785810470581,3.8062660223658895e-07,54.17
30,123091779360.0,0.4310040771961212,2.7146938919031527e-07,62.48,0.4450227618217468,4.215398234919121e-07,62.01
40,162798804960.0,0.3204105794429779,6.895035653542436e-07,79.6,0.3341941833496094,8.22927347599034e-07,78.07
50,202505830560.0,0.2863861322402954,2.053889375019935e-06,85.68,0.2962231934070587,2.126590288753505e-06,82.15
60,242212856160.0,0.2789872884750366,2.581914259280893e-06,86.06,0.2928493618965149,2.5250130875065224e-06,82.39
70,281919881760.0,0.27375632524490356,2.457940354361199e-06,86.1,0.28951141238212585,3.420283746891073e-06,82.55
80,321626907360.0,0.2727464437484741,9.34726995183155e-06,84.66,0.2919899821281433,9.727335054776631e-06,82.36
90,361333932960.0,0.23269569873809814,1.863206853158772e-05,84.72,0.27061519026756287,2.014914025494363e-05,82.12
